"id","espn_id","team_name","conference","division","feed","in_store","color","bundle_id","wiki","youtube"
"6091","333","Alabama","SEC","West","http://pipes.yahoo.com/pipes/pipe.run?_id=vtKRYC4y3hGA0Y_YwTSbTQ&_render=rss","TRUE","990000","com.reflect7.AlabamaFanFB","http://en.wikipedia.org/wiki/Alabama_Crimson_Tide_football","http://www.youtube.com/user/michaelcasagrande"
"6092","8","Arkansas","SEC","West","http://pipes.yahoo.com/pipes/pipe.run?_id=47f4acd11cd6195e546011453d0cd7a5&_render=rss","TRUE","B10D0D","com.reflect7.ArkansasFanFB","http://en.wikipedia.org/wiki/Arkansas_Razorbacks_football","http://www.youtube.com/results?search_query=%2BFootball""Arkansas""Razorbacks%2B2011%2C+this+month&aq=f"
"6093","2","Auburn","SEC","West","http://pipes.yahoo.com/pipes/pipe.run?_id=745172a788a579fdc517da6b1fe90333&_render=rss","TRUE","003366","com.reflect7.AuburnFanFB","http://en.wikipedia.org/wiki/Auburn_Tigers_football","http://www.youtube.com/results?search_query=%2BFootball""Auburn""Tigers%2B2011%2C+this+month&aq=f"
"6094","57","Florida","SEC","East","http://pipes.yahoo.com/pipes/pipe.run?_id=ihzn3Swy3hGgKGCmZcag4A&_render=rss","TRUE","0029A3","com.reflect7.FloridaFanFB","http://en.wikipedia.org/wiki/Florida_Gators_football","http://www.youtube.com/results?search_query=%2BFootball""Florida""Gators%2B2011%2C+this+month&aq=f"
"6095","61","Georgia","SEC","East","http://pipes.yahoo.com/pipes/pipe.run?_id=xIT9m7oy3hGzIh7lpgt1Yg&_render=rss","TRUE","193352","com.reflect7.GeorgiaFanFB","http://en.wikipedia.org/wiki/Georgia_Bulldogs_football","http://www.youtube.com/results?search_query=%2BFootball""Georgia""Bulldogs%2B2011%2C+this+month&aq=f"
"6096","96","Kentucky","SEC","East","http://pipes.yahoo.com/pipes/pipe.run?_id=5e5aafc9f5a3659503506c94f792e781&_render=rss","TRUE","3A379B","com.reflect7.KentuckyFanFB","http://en.wikipedia.org/wiki/Kentucky_Wildcats_football","http://www.youtube.com/results?search_query=%2BFootball""Kentucky""Wildcats%2B2011%2C+this+month&aq=f"
"6097","99","LSU","SEC","West","http://pipes.yahoo.com/pipes/pipe.run?_id=c7dd38c627c395e11fe9561121e550d0&_render=rss","TRUE","55007C","com.reflect7.LouisianaStFanFB","http://en.wikipedia.org/wiki/Louisiana_State_Tigers_football","http://www.youtube.com/results?search_query=%2BFootball""LSU""Tigers%2B2011%2C+this+month&aq=f"
"6098","145","Ole Miss","SEC","West","http://pipes.yahoo.com/pipes/pipe.run?_id=39a8654f72e77e8598475107b668d358&_render=rss","TRUE","003366","com.reflect7.MississippiFanFB","http://en.wikipedia.org/wiki/Mississippi_Rebels_football","http://www.youtube.com/results?search_query=%2BFootball""Mississippi""Rebels%2B2011%2C+this+month&aq=f"
"6100","2579","South Carolina","SEC","East","http://pipes.yahoo.com/pipes/pipe.run?_id=68773f08daa33ad99eb04d4b340ddbca&_render=rss","TRUE","990000","com.reflect7.SouthCarolinaFanFB","http://en.wikipedia.org/wiki/South_Carolina_Gamecocks_football","http://www.youtube.com/results?search_query=%2BFootball""South Carolina""Gamecocks%2B2011%2C+this+month&aq=f"
"6101","2633","Tennessee","SEC","East","http://pipes.yahoo.com/pipes/pipe.run?_id=lGNIEC8y3hGIPcxW1ZzWFw&_render=rss","TRUE","5BA3E7","com.reflect7.TennesseeFanFB","http://en.wikipedia.org/wiki/Tennessee_Volunteers_football","http://www.youtube.com/results?search_query=%2BFootball""Tennessee""Volunteers%2B2011%2C+this+month&aq=f"
